year,bea_code,sector_name,target,net_social_output,fulfillment,harmony
2020,514,"Data processing, internet publishing, and other information services",97606.43675197252,84780.59193385753,0.8685963216677327,0.44122622403961687
2020,521CI,"Federal Reserve banks, credit intermediation, and related activities",398361.29293360474,346015.1537369316,0.8685963216677337,0.44122622403961714
2020,523,"Securities, commodity contracts, and investments",345495.0509895259,300095.73044390837,0.8685963216677338,0.44122622403961714
2020,524,Insurance carriers and related activities,383759.65188175323,333332.22202898085,0.8685963216677337,0.44122622403961714
2020,525,"Funds, trusts, and other financial vehicles",137222.00549710525,119190.52922665516,0.8685963216677337,0.44122622403961714
2020,HS,Housing,2258848.2910708096,1962027.316829551,0.8685963216677335,0.4412262240396171
2020,ORE,Other real estate,9782.550784964456,8497.087628348054,0.8685963216677466,0.4412262240396208
2020,532RL,Rental and leasing services and lessors of intangible assets,136332.1871630381,118417.63629473193,0.8685963216677338,0.44122622403961714
2020,5411,Legal services,118738.02503878478,103135.41179077973,0.8685963216677338,0.44122622403961714
2020,5415,Computer systems design and related services,54367.27555289984,47223.21556434498,0.8685963216677351,0.44122622403961753
2020,5412OP,"Miscellaneous professional, scientific, and technical services",114429.58902507699,99393.12011713214,0.8685963216677319,0.44122622403961664
2020,55,Management of companies and enterprises,26839.993559273826,23313.11967917077,0.8685963216677285,0.44122622403961564
2020,561,Administrative and support services,86247.14087392701,74913.94931745164,0.8685963216677313,0.4412262240396164
2020,562,Waste management and remediation services,19221.729519573422,16695.92355679355,0.8685963216677327,0.44122622403961687
2020,61,Educational services,300763.86014854244,261242.38261561256,0.8685963216677334,0.44122622403961703
2020,621,Ambulatory health care services,1049513.51653244,911603.5800006451,0.8685963216677333,0.44122622403961703
2020,622,Hospitals,892542.8677766563,775259.4518815739,0.8685963216677335,0.4412262240396171
2020,623,Nursing and residential care facilities,244851.63653591883,212677.23084942397,0.8685963216677337,0.44122622403961714
2020,624,Social assistance,244626.0102665775,212481.2527018024,0.8685963216677334,0.44122622403961703
2020,711AS,"Performing arts, spectator sports, museums, and related activities",63265.18317917497,54951.90539906673,0.8685963216677333,0.44122622403961703
2020,713,"Amusements, gambling, and recreation industries",113965.30705439002,98989.84650517697,0.8685963216677335,0.4412262240396171
2020,721,Accommodation,140520.16535189707,122055.29874479945,0.8685963216677333,0.44122622403961703
2020,722,Food services and drinking places,586124.9982212425,509106.0174924779,0.8685963216677333,0.44122622403961703
2020,81,"Other services, except government",460243.5542819984,399765.85832062754,0.8685963216677333,0.44122622403961703
2020,GFGD,Federal general government (defense),696859.6273376826,605289.7090242587,0.8685963216677335,0.4412262240396171
2020,GFGN,Federal general government (nondefense),352860.79955065646,306493.59255043557,0.8685963216677334,0.44122622403961703
2020,GFE,Federal government enterprises,19230.653759121276,16703.67511843853,0.8685963216677344,0.4412262240396173
2020,GSLG,State and local general government,2388925.492948222,2075011.8959131031,0.8685963216677337,0.44122622403961714
2020,GSLE,State and local government enterprises,177321.29219663446,154020.62215536603,0.8685963216677333,0.44122622403961703
2021,111CA,Farms,85598.43300847213,68081.38103066938,0.7953577961401583,0.419634645110217
2021,113FF,"Forestry, fishing, and related activities",0.0,-1.3642420526593924e-12,nan,nan
2021,211,Oil and gas extraction,0.0,-1.5825207810848951e-10,nan,nan
2021,212,"Mining, except oil and gas",23002.598751832807,18295.296248754108,0.7953577961401588,0.4196346451102171
2021,213,Support activities for mining,1741.1936186322393,1384.8719191686578,0.7953577961401656,0.4196346451102192
2021,22,Utilities,208599.91659963844,165911.56994170923,0.7953577961401581,0.4196346451102169
2021,23,Construction,127.4487261981493,101.36733799002832,0.7953577961417105,0.41963464511069226
2021,321,Wood products,0.0,6.59383658785373e-12,nan,nan
