year,bea_code,sector_name,target,net_social_output,fulfillment,harmony
2021,524,Insurance carriers and related activities,414048.6068774939,327319.24788613274,0.79053338774541,0.41815362419395036
2021,525,"Funds, trusts, and other financial vehicles",144162.63326656702,113965.37486251844,0.7905333877454105,0.4181536241939505
2021,HS,Housing,2325865.8458396452,1838674.6065529587,0.7905333877454102,0.41815362419395036
2021,ORE,Other real estate,10094.357463013308,7979.926602349047,0.7905333877454075,0.4181536241939496
2021,532RL,Rental and leasing services and lessors of intangible assets,153239.75749494584,121141.1446297647,0.7905333877454106,0.4181536241939505
2021,5411,Legal services,125131.27421064823,98920.45011464373,0.7905333877454109,0.41815362419395063
2021,5415,Computer systems design and related services,61816.592425075774,48868.080228672334,0.7905333877454089,0.41815362419394997
2021,5412OP,"Miscellaneous professional, scientific, and technical services",130612.2402007595,103253.33672692368,0.7905333877454104,0.41815362419395047
2021,55,Management of companies and enterprises,29710.62514536279,23487.241148197543,0.7905333877454078,0.4181536241939497
2021,561,Administrative and support services,92906.71283347778,73445.85844053901,0.7905333877454085,0.41815362419394986
2021,562,Waste management and remediation services,19668.434056494632,15548.553806327913,0.7905333877454107,0.4181536241939505
2021,61,Educational services,308505.52183477615,243883.9153142111,0.7905333877454098,0.41815362419395025
2021,621,Ambulatory health care services,1145994.8408538904,905947.183878988,0.79053338774541,0.41815362419395036
2021,622,Hospitals,946312.6297910231,748091.7290949656,0.7905333877454102,0.41815362419395036
2021,623,Nursing and residential care facilities,243248.24388463717,192295.85830124398,0.7905333877454102,0.41815362419395036
2021,624,Social assistance,257092.8336606908,203240.4687588532,0.7905333877454105,0.4181536241939505
2021,711AS,"Performing arts, spectator sports, museums, and related activities",78521.2453202653,62073.666073017775,0.7905333877454104,0.41815362419395047
2021,713,"Amusements, gambling, and recreation industries",147306.164701083,116450.44141693052,0.7905333877454103,0.4181536241939504
2021,721,Accommodation,177303.25023518124,140164.13906669003,0.7905333877454102,0.41815362419395036
2021,722,Food services and drinking places,704349.9283944297,556812.1350518854,0.7905333877454098,0.41815362419395025
2021,81,"Other services, except government",484099.75050448417,382697.0157730176,0.7905333877454099,0.4181536241939503
