iteration,technology_mode,source_year,destination_year,mean_harmony_before,mean_harmony_after,objective_before,objective_after,gain,cv_before,cv_after,destination_harmony_before,destination_harmony_after,current_worst_fulfillment,desired_worst_fulfillment,step,investment_at_source_real_musd,top_capital_sources,top_capacity_destinations
59,historical,2019,2023,0.4173697567086073,0.4182133356467877,2.0868487835430365,2.0910666782339384,0.004217894690901947,0.09347705419775362,0.08968792108950421,0.3592295475431189,0.3617622853295194,0.6166834016492382,0.665934012637443,0.2875,33197.452006192885,333:11039.419; 5415:4849.136; 23:4648.265; 334:3699.593; 3361MV:2525.343,334:19337.822; 333:4689.934; 23:3978.797; 5415:1148.639; 332:1021.920
60,historical,2019,2021,0.4182133356467877,0.41834047195958685,2.0910666782339384,2.0917023597979343,0.0006356815639958491,0.08968792108950421,0.08962860128651383,0.416922967662927,0.4173502284990981,0.7865431821092507,0.7879265963966879,0.33062499999999995,3514.3776387304497,23:1240.903; 5412OP:776.360; 334:388.899; 333:335.124; 511:196.188,GFGN:1806.600; 521CI:1122.460; 3361MV:329.252; 331:256.066
61,historical,2019,2021,0.41834047195958685,0.41838136112064567,2.0917023597979343,2.0919068056032284,0.00020444580529410672,0.08962860128651383,0.08935314350003383,0.4173502284990981,0.41772713464399286,0.787926596394962,0.7891486542612011,0.3802187499999999,3562.6609498334715,23:1232.265; 5412OP:690.912; 334:441.867; 333:342.536; 511:209.852,GFGN:1595.885; 521CI:1342.559; 3361MV:290.849; 331:226.199; 113FF:107.169
62,historical,2019,2021,0.41838136112064567,0.41840188985200094,2.0919068056032284,2.0920094492600048,0.00010264365677636889,0.08935314350003383,0.08911735288028858,0.41772713464399286,0.4180133771811149,0.7891486542610048,0.7900778074113318,0.43725156249999986,3297.8250305707897,23:947.805; 3361MV:532.827; 5412OP:526.256; 334:355.993; 333:268.730,GFGN:1213.381; 521CI:1020.772; 532RL:586.143; 3361MV:221.138; 331:171.984
63,historical,2019,2021,0.41840188985200094,0.4184071840442833,2.0920094492600048,2.0920359202214165,2.6470961411728666e-05,0.08911735288028858,0.08893383691335224,0.4180133771811149,0.4182076983771816,0.7900778074109125,0.7907091017396998,0.5,2468.728528886123,23:672.553; 3361MV:433.410; 5412OP:361.087; 334:270.744; 333:207.159,GFGN:824.407; 521CI:693.543; 532RL:421.747; 42:204.584; 3361MV:150.248
64,historical,2022,2023,0.4184071840442833,0.4186533496684888,2.0920359202214165,2.093266748342444,0.001230828121027372,0.08893383691335224,0.08707056979258036,0.3617622853295194,0.36390463502652476,0.6234957676669504,0.6654612289469313,0.25,14028.011645184013,333:4700.822; 5415:1802.932; 23:1757.939; 334:1513.546; 3361MV:1358.739,334:5909.541; 333:2487.830; 23:2166.713; 332:845.554; 213:625.417
65,historical,2021,2022,0.4186533496684888,0.4188928326183399,2.093266748342444,2.0944641630916996,0.0011974147492557208,0.08707056979258036,0.08671898688754769,0.4097105923556758,0.41230969032212605,0.763492696556736,0.771734112143075,0.2875,13104.59129968293,23:3801.342; 213:1505.650; 334:1333.518; 3361MV:1327.247; 333:1294.888,4A0:4690.462; 621:2377.575; 211:2092.265; 722:1651.599; 487OS:964.859
66,historical,2019,2021,0.4188928326183399,0.41915512360190366,2.0944641630916996,2.0957756180095184,0.0013114549178188106,0.08671898688754769,0.0868353761485899,0.4168060151599867,0.4174976257240066,0.7861648586820754,0.7884043200134222,0.33062499999999995,927.2788523505412,333:428.940; 23:109.136; 5415:81.962; 334:81.075; 42:69.085,3361MV:532.990; 331:394.289
67,historical,2019,2021,0.41915512360190366,0.4193696487378439,2.0957756180095184,2.0968482436892195,0.0010726256797011224,0.0868353761485899,0.08686407896797715,0.4174976257240066,0.4181289508836789,0.7884043200119436,0.7904532227047811,0.3802187499999999,1792.3950701396398,333:489.388; 3361MV:376.525; 23:216.084; 334:178.450; 42:127.366,42:562.588; 3361MV:487.637; 331:379.246; 532RL:259.496; 521CI:54.643
68,historical,2022,2023,0.4193696487378439,0.4194504612818489,2.0968482436892195,2.0972523064092443,0.00040406272002480037,0.08686407896797715,0.08646563191270304,0.36390463502652476,0.36432813459418434,0.6293004485984101,0.6473580982875664,0.10931289062499996,1002.500634759496,3361MV:430.076; 333:216.083; 42:77.753; 334:62.914; 511:36.365,23:932.332; 333:70.169
69,historical,2021,2022,0.4194504612818489,0.4194526241811468,2.0972523064092443,2.097263120905734,1.081449648987487e-05,0.08646563191270304,0.08645421734246202,0.41229025347449066,0.4124041326481581,0.7716722097993229,0.772034949730861,0.015713728027343745,1190.7212540608089,213:392.546; 23:259.945; 333:107.813; 334:89.533; 3361MV:74.281,211:554.786; 4A0:279.602; 621:137.123; 722:95.262; 487OS:58.019
