iteration,technology_mode,source_year,destination_year,mean_harmony_before,mean_harmony_after,gain,cv_before,cv_after,destination_harmony_before,destination_harmony_after,current_worst_fulfillment,desired_worst_fulfillment,step,capital_at_destination_gap_real_musd,investment_at_source_real_musd,top_capital_sources,top_capacity_destinations
21,frozen,2019,2023,0.3724809604278227,0.3728548204548184,0.0003738600269956871,0.19907307120333814,0.19733204041660765,0.28089436301774795,0.2827636641691066,0.42967789908612364,0.43366463053728077,0.0039867314511571345,1500.495598146589,3878.6056451568365,5415:1275.767; 334:983.171; 23:477.317; 511:306.461; 42:223.040,514:3053.788; 5415:824.818
22,frozen,2019,2023,0.3728548204548184,0.3732218537382665,0.0003670332834481149,0.19733204041660765,0.19563935038115884,0.2827636641691066,0.28459883158933513,0.43366463053728055,0.43759883065855204,0.0039342001212714734,1480.7242565791757,3827.499039372444,5415:1258.957; 334:970.216; 23:471.027; 511:302.423; 42:220.101,514:3013.549; 5415:813.950
23,frozen,2019,2023,0.3732218537382665,0.3735822073805905,0.00036035364232400724,0.19563935038115884,0.19399366386288,0.28459883158933513,0.28640060079070856,0.4375988306585518,0.44148111842423415,0.0038822877656823616,1461.185879839939,3776.9946204247312,5415:1242.345; 334:957.414; 23:464.812; 511:298.432; 42:217.197,514:2973.785; 5415:803.210
24,frozen,2019,2023,0.3735822073805905,0.37393602462007397,0.0003538172394834671,0.19399366386288,0.1923936819344691,0.28640060079070856,0.28816968796480125,0.441481118424234,0.4453121079586832,0.003830989534449202,1441.87864254517,3727.0876699102646,5415:1225.929; 334:944.764; 23:458.670; 511:294.489; 42:214.327,514:2934.491; 5415:792.596
25,frozen,2019,2023,0.37393602462007397,0.37479744684985683,0.00086142222978286,0.1923936819344691,0.19044536693418793,0.28816968796480125,0.28990679059697355,0.445312107958683,0.44909240848080684,0.0037803005221238553,1844.0489365918775,4399.814121955312,5415:1306.702; 334:1158.035; 23:580.935; 511:318.595; 42:271.979,514:2895.664; 5415:782.109; 523:659.431; 315AL:62.609
26,frozen,2019,2023,0.37479744684985683,0.3763014703230084,0.0015040234731515945,0.19044536693418793,0.18808206760534388,0.28990679059697355,0.2916243617522681,0.44909240848080667,0.45284843324229346,0.0037560247614867926,2325.100281557824,5212.555132840439,334:1411.036; 5415:1410.342; 23:726.499; 511:348.988; 42:340.435,514:2877.069; 523:1412.243; 5415:777.087; 315AL:146.156
27,frozen,2019,2023,0.3763014703230084,0.3778001454431683,0.001498675120159887,0.18808206760534388,0.18575701292193622,0.2916243617522681,0.2933375901434997,0.45284843324229324,0.4566131502924767,0.0037647170501834463,3087.7430481066076,6718.605392492638,334:1721.332; 5415:1556.964; 23:861.337; 42:473.664; 3361MV:442.373,514:2883.727; 561:1493.987; 523:1415.511; 5415:778.885; 315AL:146.495
28,frozen,2019,2023,0.3778001454431683,0.3792934662024728,0.0014933207593044728,0.18575701292193622,0.18346980982639524,0.2933375901434997,0.29504645132751284,0.45661315029247634,0.4603864993252864,0.003773349032810092,3099.3188651327364,6742.88039382016,334:1727.101; 5415:1561.385; 23:864.103; 42:475.536; 3361MV:444.512,514:2890.339; 561:1506.283; 523:1418.756; 5415:780.671; 315AL:146.831
29,frozen,2019,2023,0.3792934662024728,0.3807212383663211,0.0014277721638483176,0.18346980982639524,0.1813220646094898,0.29504645132751284,0.29675092127914426,0.46038649932528625,0.46416841953180693,0.0037819202065206906,3106.358977284369,6758.196866975484,334:1731.024; 5415:1564.932; 23:866.065; 42:476.616; 3361MV:445.522,514:2896.905; 561:1509.704; 523:1421.979; 5415:782.444; 315AL:147.164
30,frozen,2019,2023,0.3807212383663211,0.3818299152126142,0.0011086768462931218,0.1813220646094898,0.17974939613152563,0.29675092127914426,0.2984495969185968,0.4641684195318067,0.4679557664973127,0.0037873469655059686,3110.816358871137,6767.89434962152,334:1733.508; 5415:1567.177; 23:867.308; 42:477.300; 3361MV:446.161,514:2901.062; 561:1511.871; 523:1424.020; 5415:783.567; 315AL:147.375
31,frozen,2019,2023,0.3818299152126142,0.38292899095403843,0.0010990757414242047,0.17974939613152563,0.17823022305053982,0.2984495969185968,0.30013530211263445,0.4679557664973123,0.47173236958585885,0.0037766030885465246,3101.991651626786,6748.695310074955,334:1728.591; 5415:1562.732; 23:864.848; 42:475.946; 3361MV:444.896,514:2892.832; 561:1507.582; 523:1419.980; 5415:781.344; 315AL:146.957
32,frozen,2019,2023,0.38292899095403843,0.3840185490999083,0.0010895581458698622,0.17823022305053982,0.17676355732153545,0.30013530211263445,0.30180812074046304,0.4717323695858585,0.47549812977859096,0.0037657601927324675,3093.0856131826695,6729.31932631054,334:1723.628; 5415:1558.245; 23:862.365; 42:474.580; 3361MV:443.618,514:2884.526; 561:1503.254; 523:1415.903; 5415:779.101; 315AL:146.535
33,frozen,2019,2023,0.3840185490999083,0.3850986725488217,0.0010801234489133948,0.17676355732153545,0.17534841757523176,0.30180812074046304,0.3034681366030751,0.4754981297785906,0.47925294994459616,0.003754820166005597,3084.0997942390886,6709.769772033111,334:1718.620; 5415:1553.718; 23:859.859; 42:473.201; 3361MV:442.330,514:2876.146; 561:1498.886; 523:1411.790; 5415:776.838; 315AL:146.110
34,frozen,2019,2023,0.3850986725488217,0.3861694435885715,0.0010707710397498404,0.17534841757523176,0.17398382876444732,0.3034681366030751,0.3051154334090512,0.47925294994459605,0.48299673483398414,0.003743784889388098,3075.035739813068,6690.050008582705,334:1713.569; 5415:1549.152; 23:857.332; 42:471.810; 3361MV:441.030,514:2867.694; 561:1494.481; 523:1407.641; 5415:774.555; 315AL:145.680
35,frozen,2019,2023,0.3861694435885715,0.38685407750002127,0.0006846339114497391,0.17398382876444732,0.17204152588443436,0.3051154334090512,0.30675009476077864,0.48299673483398387,0.4867293910706279,0.0037326562366440524,3065.894988959207,6670.163384327741,334:1708.476; 5415:1544.547; 23:854.784; 42:470.408; 3361MV:439.719,514:2859.169; 561:1490.039; 523:1403.456; 5415:772.252; 315AL:145.247
36,frozen,2019,2023,0.38685407750002127,0.3875289110492161,0.0006748335491948421,0.17204152588443436,0.17014885641856625,0.30675009476077864,0.3083636359533155,0.4867293910706276,0.49043112418790014,0.003701733117272486,3040.4956404219784,6614.904543040273,334:1694.322; 5415:1531.751; 23:847.702; 42:466.511; 3361MV:436.076,514:2835.482; 561:1477.695; 523:1391.829; 5415:765.854; 315AL:144.044
37,frozen,2019,2023,0.3875289110492161,0.3881947216216187,0.0006658105724026142,0.17014885641856625,0.16830587360920538,0.3083636359533155,0.30995634948260015,0.49043112418789997,0.49410205307332666,0.003670928885426687,3015.193942631689,6559.858150789487,334:1680.223; 5415:1519.004; 23:840.648; 42:462.629; 3361MV:432.447,514:2811.887; 561:1465.398; 523:1380.247; 5415:759.481; 315AL:142.845
38,frozen,2019,2023,0.3881947216216187,0.3890844732789968,0.0008897516573780906,0.16830587360920538,0.1660256410672017,0.30995634948260015,0.3115285375740215,0.49410205307332633,0.49774233215696656,0.0036402790836402277,3755.398793973254,7848.548360351425,334:1918.710; 5415:1820.452; 23:1030.760; 3361MV:634.603; 42:546.952,514:2788.409; 561:1453.163; 523:1368.723; 524:1343.461; 5415:753.140
39,frozen,2019,2023,0.3890844732789968,0.3900677133880355,0.0009832401090386633,0.1660256410672017,0.16357439393810858,0.3115285375740215,0.31308575185015297,0.4977423321569662,0.5013643667499534,0.003622034592987222,4074.107551626301,8401.674913787247,334:2020.453; 5415:1949.859; 23:1112.528; 3361MV:722.165; 42:583.100,514:2774.434; 524:1929.190; 561:1445.880; 523:1361.863; 5415:749.366
40,frozen,2019,2023,0.3900677133880355,0.39084712184883535,0.0007794084607998797,0.16357439393810858,0.16156032952449584,0.31308575185015297,0.3146304517806196,0.5013643667499532,0.5049735545704468,0.003609187820493615,4059.6573492644366,8371.875527996759,334:2013.287; 5415:1942.943; 23:1108.582; 3361MV:719.603; 42:581.032,514:2764.594; 524:1922.347; 561:1440.751; 523:1357.033; 5415:746.708
41,frozen,2019,2023,0.39084712184883535,0.3914846716292161,0.0006375497803807195,0.16156032952449584,0.15986192556640125,0.3146304517806196,0.3161583386494019,0.5049735545704465,0.5085594987405166,0.0035859441700701656,4033.5126150588344,8317.959534194586,334:2000.321; 5415:1930.430; 23:1101.443; 3361MV:714.969; 42:577.290,514:2746.789; 524:1909.967; 561:1431.473; 523:1348.293; 5415:741.899
42,frozen,2019,2023,0.3914846716292161,0.3921137645868318,0.0006290929576157067,0.15986192556640125,0.15820912546114052,0.3161583386494019,0.3176666253112378,0.5085594987405164,0.5121151929608476,0.003555694220331156,3999.487112125614,8247.791721784031,334:1983.447; 5415:1914.145; 23:1092.151; 3361MV:708.938; 42:572.420,514:2723.618; 524:1893.855; 561:1419.397; 523:1336.920; 5415:735.640
